epoch,acc,loss,mean_squared_error,val_acc,val_loss,val_mean_squared_error
0,0.6251375857381726,0.028460565855435754,0.028460565855435754,0.6474627946552477,0.01271482185754729,0.01271482185754729
0,0.6381089166918797,0.04425871292064291,0.044258712443398004,0.6710757531371772,0.034906582541617694,0.034906582578140145
1,0.6676702650625315,0.02032367719698753,0.020323677178453747,0.6512965548272226,0.01724958176925486,0.017249581696209954
2,0.6735079653227507,0.015185884102734167,0.015185884061033156,0.6878427722874809,0.0111324534039287,0.011132453312622565
3,0.6782079000971211,0.012913967167671344,0.01291396725570681,0.6858813353613311,0.012518322807462776,0.012518322862246457
4,0.6800108225784491,0.011733667429221507,0.011733667396787387,0.6853666714593476,0.008728079086936572,0.00872807907780596
5,0.6844163231588715,0.011304903738386003,0.011304903726802389,0.6845877521178302,0.009812952128841597,0.009812952128841597
6,0.6849962630082126,0.011178818227843711,0.011178818376113972,0.6941131622183556,0.0093401124627859,0.009340112426263444
7,0.6897349087753106,0.009982342757655317,0.009982342750705149,0.6890625416063795,0.00848835172569927,0.008488351680046203
8,0.6919562463736653,0.009422390068422503,0.009422390077689394,0.6913835359554664,0.006098905724345469,0.0060989057517373095
9,0.692405131918874,0.008430104987668012,0.008430104999251627,0.6958720613928402,0.0054812831073707225,0.005481283025195201
